Month,PlannerName,Product,ProductFamily,Plant, Forecast_Tons ,Resource,Scenario Version,Comment
2029-12,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,0.99,CA04 - Repack,50 case,280291
2030-01,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.00,CA04 - Repack,50 case,280291
2030-02,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.00,CA04 - Repack,50 case,280291
2030-03,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.00,CA04 - Repack,50 case,280291
2030-04,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.00,CA04 - Repack,50 case,280291
2030-05,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.00,CA04 - Repack,50 case,280291
2030-06,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.00,CA04 - Repack,50 case,280291
2030-07,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.00,CA04 - Repack,50 case,280291
2030-08,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.00,CA04 - Repack,50 case,280291
2030-09,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.00,CA04 - Repack,50 case,280291
2030-10,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.00,CA04 - Repack,50 case,280291
2030-11,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.00,CA04 - Repack,50 case,280291
2030-12,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.00,CA04 - Repack,50 case,280291
2031-01,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.01,CA04 - Repack,50 case,280291
2031-02,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.01,CA04 - Repack,50 case,280291
2031-03,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.01,CA04 - Repack,50 case,280291
2031-04,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.01,CA04 - Repack,50 case,280291
2031-05,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.01,CA04 - Repack,50 case,280291
2031-06,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.01,CA04 - Repack,50 case,280291
2031-07,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.01,CA04 - Repack,50 case,280291
2031-08,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.01,CA04 - Repack,50 case,280291
2031-09,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.01,CA04 - Repack,50 case,280291
2031-10,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.01,CA04 - Repack,50 case,280291
2031-11,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.01,CA04 - Repack,50 case,280291
2031-12,Miranda,BSEAL HV3 PAAS 12X600ML TU,BSEAL HV3 PAAS,CA04,1.01,CA04 - Repack,50 case,280291
2026-01,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.06,CA04 - 4000L JD,50 case,12017105
2026-02,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,0.00,CA04 - 4000L JD,50 case,12017105
2026-03,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,0.00,CA04 - 4000L JD,50 case,12017105
2026-04,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,0.92,CA04 - 4000L JD,50 case,12017105
2026-05,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.24,CA04 - 4000L JD,50 case,12017105
2026-06,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.24,CA04 - 4000L JD,50 case,12017105
2026-07,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.24,CA04 - 4000L JD,50 case,12017105
2026-08,Miranda,BSEAL 15709 CHN 20KG PL,BETASEAL 15709CHN UR AD,CA04,1.24,CA04 - 4000L JD,50 case,12017105
